ORG4CODE,ORG8CODE,DISTRICT_N,DISTRICT_T,MEMBERLIST,TUITION,TUITION_GR,TUITION_TO,SUPERINTEN,START_GRAD,END_GRADE,SHAPE_AREA,SHAPE_LEN
0632,06320000,Chesterfield-Goshen,ReglElem,"Chesterfield, Goshen",N,,,Union 66,PK,06,126761390.992,54106.2930885
0635,06350000,Central Berkshire,ReglK12,"Becket, Cummington, Dalton, Hinsdale, Peru, Washington, Windsor",N,,,,PK,12,555384356.286,139665.161811
0640,06400000,Concord-Carlisle,ReglHS,"Concord, Carlisle",N,,,,09,12,107111592.133,50368.9753063
0645,06450000,Dennis-Yarmouth,ReglK12,"Dennis, Yarmouth",N,,,,PK,12,121856160.27,96095.6693766
0650,06500000,Dighton-Rehoboth,ReglK12,"Dighton, Rehoboth",N,,,,PK,12,180669897.36,65115.3796516
0655,06550000,Dover-Sherborn,ReglHS,"Dover, Sherborn",N,,,Union 50,06,12,81774484.9275,59594.1062058
0658,06580000,Dudley-Charlton,ReglK12,"Dudley, Charlton",N,,,,PK,12,170107487.75,66325.812786
0685,06850000,Hawlemont,ReglElem,"Charlemont, Hawley",N,,,,PK,06,148095641.264,66060.4877906
0690,06900000,King Philip,ReglHS,"Norfolk, Plainville, Wrentham",N,,,,07,12,128189811.473,62315.5785994
0660,06600000,Nauset,ReglHS,"Brewster, Eastham, Orleans, Wellfleet",N,,,Union 54,06,12,198318542.057,198948.851391
0662,06620000,Farmington River,ReglElem,"Otis, Sandisfield",Y,7-12,"Berkshire Hills, Lee",,PK,06,235698625.691,77408.3507061
0665,06650000,Freetown-Lakeville,ReglK12,"Freetown, Lakeville",N,,,,PK,12,185731852.871,77801.8359156
0670,06700000,Frontier,ReglHS,"Conway, Deerfield, Sunderland, Whately",N,,,Union 38,07,12,276428950.762,85221.0877629
0672,06720000,Gateway,ReglK12,"Blandford, Chester, Huntington, Middlefield, Montgomery, Russell",N,,,,PK,12,451934655.929,108624.521204
0673,06730000,Groton-Dunstable,ReglK12,"Groton, Dunstable",N,,,,PK,12,130876230.937,72010.350128
0674,06740000,Gill-Montague,ReglK12,"Gill, Montague",N,,,,PK,12,119773876.931,61488.0312685
0675,06750000,Hamilton-Wenham,ReglK12,"Hamilton, Wenham",N,,,,PK,12,59678043.7722,44848.9956315
0680,06800000,Hampden-Wilbraham,ReglK12,"Hampden, Wilbraham",N,,,,PK,12,108706303.897,49624.8979887
0683,06830000,Hampshire,ReglHS,"Chesterfield, Goshen, Southampton, Westhampton, Williamsburg",N,,,Union 66,07,12,339082402.829,115332.158066
0600,06000000,Acton-Boxborough,ReglK12,"Acton, Boxborough",N,,,,PK,12,79516117.2025,42892.6966897
0603,06030000,Adams-Cheshire,ReglK12,"Adams, Cheshire",N,,,,PK,12,130734199.06,58645.052944
0605,06050000,Amherst-Pelham,ReglHS,"Amherst, Pelham, Leverett, Shutesbury",N,,,Union 26,07,12,270315923.244,87471.1828732
0610,06100000,Ashburnham-Westminster,ReglK12,"Ashburnham, Westminster",N,,,,PK,12,202551101.192,75401.1472552
0615,06150000,Athol-Royalston,ReglK12,"Athol, Royalston",N,,,,PK,12,196601793.735,80306.2396524
0616,06160000,Ayer Shirley,ReglK12,"Ayer, Shirley",N,,,,PK,12,65782102.1689,50426.7716798
0618,06180000,Berkshire Hills,ReglK12,"Great Barrington, Stockbridge, West Stockbridge",N,,,,PK,12,228249604.13,71337.4008909
0620,06200000,Berlin-Boylston,ReglK12,"Berlin, Boylston",N,,,Union 60,PK,12,85255566.5003,49673.6655531
0622,06220000,Blackstone-Millville,ReglK12,"Blackstone, Millville",N,,,,PK,12,42340495.2409,26508.3693776
