iter	RMSE
0	6.589668607
1	6.24081663
2	5.918431664
3	5.637348327
4	5.399246322
5	5.167673638
6	4.985522352
7	4.800429699
8	4.660121667
9	4.511797779
10	4.343755417
11	4.202279087
12	4.064401561
13	3.947467592
14	3.838436644
15	3.714917302
16	3.628825738
17	3.533627731
18	3.456995571
19	3.359105739
20	3.303337257
21	3.244822927
22	3.20730079
23	3.146637243
24	3.105530301
25	3.063201955
26	3.022205985
27	2.994054357
28	2.945532385
29	2.889495899
30	2.843486318
31	2.809915357
32	2.770888872
33	2.74638454
34	2.702475958
35	2.672280304
36	2.656491622
37	2.623892472
38	2.605394799
39	2.576217209
40	2.548362235
41	2.531330618
42	2.50766206
43	2.497929164
44	2.474326741
45	2.447821977
46	2.412235887
47	2.384198173
48	2.367466449
49	2.335516992
50	2.316681862
51	2.287037672
52	2.260913224
53	2.248159442
54	2.220292007
55	2.200022135
56	2.179672055
57	2.167700728
58	2.15130948
59	2.135334934
60	2.11263934
61	2.101051241
62	2.088441413
63	2.075854251
64	2.058340216
65	2.040774614
66	2.014987933
67	2.008784635
68	1.992323243
69	1.976098219
70	1.955288063
71	1.951031274
72	1.946069661
73	1.934432535
74	1.918859067
75	1.915021548
76	1.902612225
77	1.879477177
78	1.875093209
79	1.846739966
80	1.833594917
81	1.822163685
82	1.818283692
83	1.811527578
84	1.808845502
85	1.772424819
86	1.769018443
87	1.754615495
88	1.736448701
89	1.712499381
90	1.702207668
91	1.681018159
92	1.663854579
93	1.645190761
94	1.630712717
95	1.619885352
96	1.593219581
97	1.583561561
98	1.571863935
99	1.564348284
100	1.548680437
101	1.535420092
102	1.525054876
103	1.51217811
104	1.510119424
105	1.498508657
106	1.48156882
107	1.479272437
108	1.456533281
109	1.443670259
110	1.429077583
111	1.42094947
112	1.408142195
113	1.400672517
114	1.388922529
115	1.379955404
116	1.366043536
117	1.349813174
118	1.336417003
119	1.330982234
120	1.318670394
121	1.298995838
122	1.285348219
123	1.272800964
124	1.248684463
125	1.225791024
126	1.222141718
127	1.212220288
128	1.201310691
129	1.189697832
130	1.185165081
131	1.178620443
132	1.169536015
133	1.167994099
134	1.154518131
135	1.150592448
136	1.139795154
137	1.125053372
138	1.107340559
139	1.103187425
140	1.096924554
141	1.088250839
142	1.082235169
143	1.076680058
144	1.067109071
145	1.057727009
146	1.040895158
147	1.030932017
148	1.018746044
149	1.013676183
150	0.9962194053
151	0.9898581263
152	0.975493203
153	0.9673644535
154	0.9638305811
155	0.956089272
156	0.9446566419
157	0.9395786547
158	0.9314904184
159	0.9275190304
160	0.9201552924
161	0.9069717798
162	0.8987315716
163	0.8949172415
164	0.8870268211
165	0.8793122734
166	0.8732134654
167	0.8571808248
168	0.8550468008
169	0.8410542818
170	0.8294860366
171	0.8182122005
172	0.8131831235
173	0.7984389497
174	0.7885352105
175	0.7819544389
176	0.7757807853
177	0.7732826294
178	0.7702611625
179	0.7673112699
180	0.7557280451
181	0.7430077777
182	0.7308446602
183	0.7240471379
184	0.7206856307
185	0.7113824404
186	0.7065469312
187	0.7003304409
188	0.6907270132
189	0.68563502
190	0.6795527789
191	0.6680257801
192	0.6640442418
193	0.6585065216
194	0.6536136934
195	0.6500170651
196	0.6494706763
197	0.642478433
198	0.63406207
199	0.6287782842
200	0.6252429548
201	0.623116284
202	0.6121998502
203	0.6079299253
204	0.6022081408
205	0.5955599915
206	0.5878940197
207	0.5810557239
208	0.5763137612
209	0.5703455577
210	0.5625927382
211	0.5581934358
212	0.5504269275
213	0.5447500298
214	0.5392019472
215	0.5364889259
216	0.5315513863
217	0.5261457287
218	0.5227733659
219	0.5176421697
220	0.5119580651
221	0.5082277424
222	0.5066365049
223	0.5040705264
224	0.499136205
225	0.4946348725
226	0.4878068299
227	0.4848860516
228	0.4811156129
229	0.4746995159
230	0.4672566396
231	0.4657106709
232	0.4628268951
233	0.4606974283
234	0.4568406936
235	0.4526681899
236	0.4452956926
237	0.4438438369
238	0.44029744
239	0.4365510996
240	0.4316795713
241	0.4261914371
242	0.4247042769
243	0.4195819923
244	0.4170787368
245	0.4145529788
246	0.4122475926
247	0.4108882518
