iter	Passed	Remaining
0	0	768
1	1	619
2	1	554
3	2	519
4	2	499
5	2	485
6	3	470
7	3	477
8	4	480
9	4	492
10	5	498
11	6	515
12	6	521
13	7	522
14	7	520
15	8	514
16	8	510
17	9	508
18	9	502
19	10	498
20	10	495
21	11	492
22	11	492
23	12	494
24	12	500
25	13	501
26	13	502
27	14	501
28	14	498
29	15	497
30	15	494
31	16	493
32	16	492
33	17	489
34	17	487
35	18	485
36	18	482
37	18	479
38	19	478
39	20	481
40	20	483
41	21	481
42	21	478
43	21	477
44	22	476
45	22	475
46	23	473
47	23	471
48	24	470
49	24	469
50	25	468
51	25	468
52	26	466
53	26	464
54	27	467
55	27	468
56	28	469
57	30	496
58	31	496
59	31	495
60	32	494
61	34	525
62	35	525
63	35	525
64	36	523
65	36	522
66	38	538
67	39	536
68	39	533
69	40	531
70	40	529
71	40	526
72	41	527
73	43	547
74	44	546
75	44	544
76	45	541
77	45	538
78	45	536
79	46	533
80	46	532
81	48	544
82	49	544
83	49	542
84	50	541
85	50	540
86	51	539
87	51	537
88	53	543
89	53	541
90	54	540
91	54	538
92	54	536
93	56	543
94	57	545
95	57	542
96	58	541
97	58	539
98	59	544
99	60	542
100	60	541
101	61	539
102	61	537
103	63	547
104	64	547
105	64	546
106	65	545
107	65	544
108	66	542
109	66	541
110	67	539
111	68	546
112	69	547
113	70	545
114	70	544
115	71	542
116	71	540
117	72	538
118	72	536
119	73	540
120	74	542
121	75	540
122	75	538
123	76	537
124	76	535
125	77	534
126	78	540
127	79	540
128	79	539
129	80	537
130	80	536
131	81	535
132	83	544
133	84	543
134	84	542
135	85	540
136	86	543
137	87	549
138	88	547
139	88	546
140	89	544
141	90	549
142	91	547
143	91	545
144	92	543
145	92	541
146	94	549
147	95	549
148	95	547
149	96	545
150	96	544
151	97	543
152	99	550
153	99	549
154	100	547
155	100	545
156	101	543
157	101	541
158	102	539
159	102	540
160	104	543
161	104	542
162	105	541
163	106	542
164	108	547
165	108	545
166	109	543
167	109	541
168	109	539
169	110	538
170	110	536
171	112	540
172	112	539
173	113	538
174	113	536
175	116	543
176	116	541
177	116	539
178	117	538
179	117	536
180	118	534
181	118	533
182	119	531
183	120	535
184	121	533
185	121	532
